XNR_genes	GO_terms	SSHG_genes
XNR_5818	GO:0016627; GO:0050660	SSHG_00135
XNR_2030	GO:0005524; GO:0016887	SSHG_03901
XNR_3207	GO:0016787	SSHG_02730
XNR_2345	GO:0016021	SSHG_03575
XNR_5589	GO:0003824; GO:0016021	SSHG_00358
XNR_1549	GO:0016021	SSHG_04375
XNR_3887	GO:0007155; GO:0008305	SSHG_02046
XNR_5771	GO:0005524; GO:0016887	SSHG_00182
XNR_1159	GO:0043190; GO:0055085	SSHG_04760
XNR_4797	GO:0000917; GO:0003924; GO:0005525; GO:0005737; GO:0032153; GO:0043093; GO:0051258	SSHG_01141
XNR_4423	GO:0005198; GO:0005773; GO:0012506; GO:0033172	SSHG_01512
XNR_0786	GO:0003677; GO:0016765	SSHG_05138
XNR_1364	GO:0005887; GO:0008556; GO:0030955	SSHG_04564
XNR_4303	GO:0004177; GO:0008237; GO:0008270	SSHG_01631
XNR_2360	GO:0004357; GO:0005524; GO:0042398	SSHG_03561
XNR_3465	GO:0016021	SSHG_02471
XNR_5585	GO:0005887; GO:0022857	SSHG_00362
XNR_5809	GO:0004497; GO:0005506; GO:0016705; GO:0020037	SSHG_00144
XNR_5058	GO:0016787	SSHG_00890
XNR_5399	GO:0016021	SSHG_00555
XNR_4477	GO:0003677; GO:0003896; GO:0008270; GO:1990077	SSHG_01463
XNR_2507	GO:0003677	SSHG_03418
XNR_3268	GO:0000160; GO:0003677; GO:0006355	SSHG_02669
XNR_5448	GO:0006629; GO:0030729	SSHG_00502
XNR_2562	GO:0005886; GO:0016021; GO:0055085	SSHG_03368
XNR_5608	GO:0008422; GO:0030245; GO:0102483	SSHG_00339
XNR_5310	GO:0008080	SSHG_00643
XNR_1347	GO:0008483	SSHG_04583
XNR_5258	GO:0003677; GO:0045892	SSHG_00691
XNR_0802	GO:0003723	SSHG_05122
XNR_1795	GO:0016021	SSHG_04133
XNR_4964	GO:0016810	SSHG_00980
XNR_2951	GO:0008080	SSHG_02995
XNR_2589	GO:0016740	SSHG_03344
XNR_1020	GO:0003824	SSHG_04910
XNR_2387	GO:0051213	SSHG_03535
XNR_0696	GO:0016021	SSHG_05227
XNR_3428	GO:0005524; GO:0005737; GO:0006400; GO:0016757; GO:0016879	SSHG_02509
XNR_2733	GO:0005524; GO:0016887	SSHG_03200
XNR_0917	GO:0055114	SSHG_05013
XNR_5824	GO:0005524; GO:0016887	SSHG_00129
XNR_0591	GO:0016740	SSHG_05335
XNR_5543	GO:0008080	SSHG_00404
XNR_2226	GO:0016491	SSHG_03695
XNR_0748	GO:0016740; GO:0016829	SSHG_05178
XNR_5057	GO:0016787	SSHG_00891
XNR_2205	GO:0009002	SSHG_03717
XNR_5379	GO:0003677	SSHG_00576
XNR_5535	GO:0003700; GO:0043565	SSHG_00412
XNR_0717	GO:0015734; GO:0016020; GO:0042597; GO:0042626	SSHG_05206
XNR_2385	GO:0005886; GO:0008982; GO:0009401; GO:0016021; GO:0016301	SSHG_03537
XNR_4832	GO:0008677; GO:0015940; GO:0016021	SSHG_01106
XNR_0619	GO:0003677; GO:0006355	SSHG_05306
XNR_0133	GO:0016787	SSHG_05785
XNR_4657	GO:0000160; GO:0003677; GO:0006355	SSHG_01282
XNR_0688	GO:0003700	SSHG_05235
XNR_0255	GO:0005524; GO:0016021	SSHG_05666
XNR_0261	GO:0016791	SSHG_05662
XNR_4188	GO:0016740	SSHG_01750
XNR_0057	GO:0005886; GO:0016021; GO:0016410; GO:0042158	SSHG_05859
XNR_1864	GO:0004674; GO:0005524; GO:0016021	SSHG_04063
XNR_0015	GO:0005887; GO:0055085	SSHG_00016
XNR_5924	GO:0005887; GO:0055085	SSHG_00016
XNR_2346	GO:0003677	SSHG_03574
XNR_3222	GO:0003824	SSHG_02714
XNR_2883	GO:0003677; GO:0045892	SSHG_03064
XNR_0554	GO:0005524; GO:0016887	SSHG_05371
XNR_0832	GO:0005524	SSHG_05095
XNR_4925	GO:0005975; GO:0006098; GO:0017057	SSHG_01018
XNR_0738	GO:0016740	SSHG_05186
XNR_2495	GO:0016491	SSHG_03429
XNR_4495	GO:0003676; GO:0008168	SSHG_01445
XNR_5800	GO:0005886; GO:0016021; GO:0055085	SSHG_00154
XNR_5769	GO:0005886; GO:0016021; GO:0022857	SSHG_00184
XNR_5112	GO:0004411; GO:0005506; GO:0006559; GO:0006572	SSHG_00834
XNR_2990	GO:0016021	SSHG_02954
XNR_3897	GO:0004601; GO:0051920	SSHG_02036
XNR_0300	GO:0003857; GO:0006635	SSHG_05626
XNR_0610	GO:0016021; GO:0016747	SSHG_05315
XNR_0010	GO:0003677	SSHG_00010
XNR_5929	GO:0003677	SSHG_00010
XNR_4705	GO:0016021	SSHG_01233
XNR_1625	GO:0008641; GO:0016779	SSHG_04300
XNR_3879	GO:0016021	SSHG_02054
XNR_5219	GO:0004356; GO:0006542	SSHG_00728
XNR_0040	GO:0003677; GO:0006310; GO:0015074	SSHG_05875
XNR_1664	GO:0016407	SSHG_04259
XNR_0074	GO:0016491	SSHG_05844
XNR_5749	GO:0016021	SSHG_00205
XNR_3223	GO:0016021	SSHG_02713
XNR_2994	GO:0004791; GO:0005737; GO:0019430	SSHG_02950
XNR_1006	GO:0016021	SSHG_04923
XNR_2415	GO:0003747	SSHG_03508
XNR_1148	GO:0003700; GO:0003746; GO:0005737; GO:0006353; GO:0031564	SSHG_04769
XNR_1074	GO:0005524; GO:0008033; GO:0052381	SSHG_04852
XNR_4068	GO:0016810	SSHG_01866
XNR_5737	GO:0016021	SSHG_00216
XNR_0640	GO:0004096; GO:0006979; GO:0020037; GO:0042744; GO:0046872	SSHG_05285
XNR_2088	GO:0016788	SSHG_03845
XNR_1355	GO:0043190; GO:0055085	SSHG_04575
XNR_2718	GO:0003824; GO:0005975	SSHG_03215
XNR_3580	GO:0004312; GO:0005835; GO:0006633; GO:0055114	SSHG_02347
XNR_1954	GO:0004497	SSHG_03978
XNR_0128	GO:0003677; GO:0003700	SSHG_05791
XNR_5327	GO:0016021; GO:0016746	SSHG_00628
XNR_2329	GO:0005524; GO:0016021; GO:0016887; GO:0042626	SSHG_03591
XNR_0557	GO:0003677; GO:0003700	SSHG_05368
XNR_5577	GO:0016021	SSHG_00370
XNR_2712	GO:0016021	SSHG_03222
XNR_4125	GO:0006355	SSHG_01813
XNR_4594	GO:0016491	SSHG_01344
XNR_5196	GO:0003951	SSHG_00751
XNR_2009	GO:0016787	SSHG_03924
XNR_2435	GO:0003677	SSHG_03486
XNR_1367	GO:0000160; GO:0003677; GO:0006355	SSHG_04561
XNR_1999	GO:0016491	SSHG_03935
XNR_5832	GO:0016491; GO:0071949	SSHG_00121
XNR_0307	GO:0016620	SSHG_05619
XNR_5213	GO:0003677	SSHG_00733
XNR_1492	GO:0003690; GO:0006303; GO:0006310	SSHG_04431
XNR_5422	GO:0016020	SSHG_00531
XNR_1805	GO:0005886; GO:0016021; GO:0055085	SSHG_04124
XNR_3078	GO:0005623; GO:0016209; GO:0016491; GO:0045454	SSHG_02866
XNR_1232	GO:0016021	SSHG_04687
XNR_2097	GO:0008658; GO:0016021; GO:0046677	SSHG_03834
XNR_2927	GO:0005524; GO:0016887	SSHG_03019
XNR_0587	GO:0008641	SSHG_05340
XNR_2601	GO:0006629; GO:0016021; GO:0016627	SSHG_03332
XNR_4898	GO:0016021	SSHG_01045
XNR_1579	GO:0004497; GO:0005506; GO:0016705; GO:0020037	SSHG_04344
XNR_2293	GO:0005524; GO:0016887; GO:0043215; GO:1900753	SSHG_03626
XNR_3642	GO:0008137; GO:0016021; GO:0042773	SSHG_02288
XNR_0016	GO:0009058; GO:0016788	SSHG_00017
XNR_5923	GO:0009058; GO:0016788	SSHG_00017
XNR_4603	GO:0016491	SSHG_01334
XNR_0103	GO:0016787	SSHG_05815
XNR_3281	GO:0006520; GO:0030170	SSHG_02656
XNR_0396	GO:0004315; GO:0005737; GO:0006633; GO:0033818	SSHG_05528
XNR_3343	GO:0016491	SSHG_02594
XNR_5334	GO:0003677; GO:0005524; GO:0006281; GO:0006310; GO:0009378; GO:0009379; GO:0009432	SSHG_00621
XNR_3663	GO:0004719	SSHG_02267
XNR_3495	GO:0008703; GO:0009231	SSHG_02440
XNR_1351	GO:0005524; GO:0015833; GO:0016887	SSHG_04579
XNR_4957	GO:0003677; GO:0003700	SSHG_00987
XNR_0803	GO:0005737; GO:0016990; GO:0019547	SSHG_05121
XNR_0107	GO:0015851; GO:0016021; GO:0022857	SSHG_05811
XNR_4036	GO:0016021	SSHG_01898
XNR_1659	GO:0016853	SSHG_04264
XNR_2356	GO:0008080	SSHG_03565
XNR_0977	GO:0000155; GO:0016021; GO:0046983	SSHG_04951
XNR_2316	GO:0016021	SSHG_03604
XNR_1691	GO:0005524; GO:0015833; GO:0016887	SSHG_04234
XNR_0443	GO:0046872	SSHG_05481
XNR_1853	GO:0005975; GO:0016021; GO:0016740; GO:0016810	SSHG_04077
XNR_5236	GO:0000049; GO:0000287; GO:0004826; GO:0005524; GO:0005737; GO:0006432	SSHG_00711
XNR_3990	GO:0016021; GO:0016787	SSHG_01944
XNR_4337	GO:0008658; GO:0009002; GO:0009252; GO:0016021	SSHG_01599
XNR_4492	GO:0016491	SSHG_01448
XNR_0315	GO:0005524; GO:0016887	SSHG_05612
XNR_2823	GO:0008080	SSHG_03117
XNR_1032	GO:0005886; GO:0016021; GO:0055085	SSHG_04895
XNR_1909	GO:0008324; GO:0016021	SSHG_04022
XNR_5835	GO:0016021; GO:0022857	SSHG_00118
XNR_5902	GO:0005887; GO:0055085	SSHG_00041
XNR_4416	GO:0005887; GO:0042626; GO:0043190	SSHG_01519
XNR_2311	GO:0004113; GO:0008664	SSHG_03609
XNR_0807	GO:0008137; GO:0016021; GO:0042773	SSHG_05117
XNR_5811	GO:0005886; GO:0016021; GO:0055085	SSHG_00142
XNR_4264	GO:0003697; GO:0006260	SSHG_01676
XNR_3623	GO:0010181	SSHG_02307
XNR_0643	GO:0003824	SSHG_05281
XNR_2132	GO:0005451; GO:0005886; GO:0006813; GO:0016021	SSHG_03802
XNR_4511	GO:0004315; GO:0005737; GO:0006633; GO:0033818	SSHG_01429
XNR_4911	GO:0016853; GO:0046872	SSHG_01031
XNR_1028	GO:0003677; GO:0003918; GO:0005524; GO:0005694; GO:0006265	SSHG_04899
XNR_4552	GO:0005887; GO:0022857	SSHG_01387
XNR_0895	GO:0003677	SSHG_05035
XNR_0470	GO:0005524; GO:0016887	SSHG_05453
XNR_5500	GO:0016491	SSHG_00448
XNR_3578	GO:0015103; GO:0015297; GO:0016021	SSHG_02349
XNR_4462	GO:0005737; GO:0008863; GO:0016616; GO:0042183; GO:0051287	SSHG_01475
XNR_0299	GO:0003677; GO:0006355	SSHG_05627
XNR_4996	GO:0004252	SSHG_00949
XNR_4369	GO:0008289	SSHG_01567
XNR_5504	GO:0008270; GO:0016491	SSHG_00444
XNR_2317	GO:0000166; GO:0016021	SSHG_03603
XNR_0912	GO:0003677	SSHG_05018
XNR_1964	GO:0006857; GO:0016021; GO:1904680	SSHG_03968
XNR_5472	GO:0003824; GO:0009058	SSHG_00475
XNR_1765	GO:0016787	SSHG_04163
XNR_3080	GO:0004177; GO:0008237; GO:0008270	SSHG_02864
XNR_2172	GO:0016021	SSHG_03763
XNR_3894	GO:0004177; GO:0046872	SSHG_02039
XNR_3019	GO:0004672; GO:0005524	SSHG_02925
XNR_3682	GO:0005886; GO:0008137; GO:0016021; GO:0048038	SSHG_02247
XNR_3959	GO:0016740	SSHG_01975
XNR_2651	GO:0008080	SSHG_03284
XNR_2872	GO:0042128	SSHG_03073
XNR_2004	GO:0016021; GO:0016746	SSHG_03929
XNR_4450	GO:0005886; GO:0016021	SSHG_01485
XNR_4965	GO:0005576; GO:0005618; GO:0016021	SSHG_00979
XNR_5207	GO:0005886; GO:0016021	SSHG_00740
XNR_1517	GO:0005524; GO:0016887	SSHG_04405
XNR_1997	GO:0016020	SSHG_03937
XNR_4909	GO:0003855; GO:0009073; GO:0009423	SSHG_01033
XNR_3347	GO:0003677	SSHG_02590
XNR_4974	GO:0016021	SSHG_00971
XNR_0835	GO:0019516	SSHG_05092
XNR_2805	GO:0005887; GO:0055085	SSHG_03134
XNR_3214	GO:0015103; GO:0015297; GO:0016021	SSHG_02724
XNR_1910	GO:0004476; GO:0005975; GO:0008270; GO:0009298	SSHG_04021
XNR_0744	GO:0005524; GO:0005737; GO:0007049; GO:0008360; GO:0008763; GO:0009252; GO:0051301; GO:0071555	SSHG_05182
XNR_0143	GO:0051537	SSHG_05775
XNR_0069	GO:0003677; GO:0003700	SSHG_05849
XNR_2431	GO:0016491	SSHG_03490
XNR_2002	GO:0016787	SSHG_03931
XNR_0367	GO:0016021; GO:0022857	SSHG_05555
XNR_2720	GO:0003987; GO:0005524; GO:0016208; GO:0019427; GO:0046872	SSHG_03213
XNR_3298	GO:0003677; GO:0003700; GO:0006352; GO:0016987	SSHG_02640
XNR_5872	GO:0008483	SSHG_00077
XNR_1736	GO:0003700; GO:0043565	SSHG_04191
XNR_3270	GO:0003677	SSHG_02668
XNR_2355	GO:0051213	SSHG_03566
XNR_0788	GO:0003723; GO:0043571; GO:0051607	SSHG_05136
XNR_4848	GO:0016787	SSHG_01090
XNR_2366	GO:0008800; GO:0030655; GO:0046677	SSHG_03556
XNR_2550	GO:0003677; GO:0006310; GO:0015074	SSHG_03379
XNR_4831	GO:0000105; GO:0000107; GO:0005737; GO:0016829	SSHG_01107
XNR_5389	GO:0003677	SSHG_00565
XNR_2755	GO:0005886; GO:0016021	SSHG_03180
XNR_2628	GO:0016491	SSHG_03307
XNR_5563	GO:0003677	SSHG_00384
XNR_2425	GO:0016021	SSHG_03497
XNR_1892	GO:0009116	SSHG_04037
XNR_5101	GO:0005975; GO:0016810	SSHG_00846
XNR_0265	GO:0003824; GO:0051536	SSHG_05658
XNR_2335	GO:0005886; GO:0016021; GO:0022857	SSHG_03585
XNR_1156	GO:0005524; GO:0016887	SSHG_04763
XNR_4588	GO:0016021	SSHG_01350
XNR_5476	GO:0019538	SSHG_00471
XNR_3910	GO:0004830; GO:0005524; GO:0005737; GO:0006436	SSHG_02024
XNR_4994	GO:0006825; GO:0016021	SSHG_00951
XNR_2214	GO:0016740	SSHG_03707
XNR_0264	GO:0008483; GO:0030170	SSHG_05659
XNR_0520	GO:0005524; GO:0016887	SSHG_05404
XNR_4054	GO:0016491	SSHG_01879
XNR_4607	GO:0016740	SSHG_01330
XNR_3685	GO:0008137; GO:0016021; GO:0042773	SSHG_02244
XNR_5026	GO:0016020	SSHG_00920
XNR_2450	GO:0006281; GO:0008168	SSHG_03471
XNR_1388	GO:0005524; GO:0016021; GO:0016887; GO:0042626	SSHG_04540
XNR_2874	GO:0003824; GO:0006284	SSHG_03071
XNR_5320	GO:0003676	SSHG_00635
XNR_2655	GO:0016021	SSHG_03280
XNR_3178	GO:0016021; GO:0022857	SSHG_02760
XNR_1362	GO:0003941; GO:0006094; GO:0051539	SSHG_04567
XNR_5536	GO:0016740	SSHG_00411
XNR_5708	GO:0003700	SSHG_00242
XNR_3590	GO:0016021	SSHG_02338
