# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	8669	9700	-	AGI86415.1			3-hydroxyacyl-CoA dehydrogenase			XNR_0008	1032	343	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	9728	10621	-							XNR_0009	894		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	9728	10621	-	AGI86416.1			Hypothetical protein			XNR_0009	894	297	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	10691	11548	-							XNR_0010	858		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	10691	11548	-	AGI86417.1			TetR-family transcriptional regulator			XNR_0010	858	285	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	11920	12510	+							XNR_0011	591		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	11920	12510	+	AGI86418.1			Transcriptional regulator, TetR family			XNR_0011	591	196	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	12520	13107	-							XNR_0012	588		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	12520	13107	-	AGI86419.1			Hypothetical protein			XNR_0012	588	195	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	13154	13528	-							XNR_0013	375		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	13154	13528	-	AGI86420.1			Hypothetical protein			XNR_0013	375	124	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	13725	14153	+							XNR_0014	429		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	13725	14153	+	AGI86421.1			Hypothetical protein			XNR_0014	429	142	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	14238	15794	-							XNR_0015	1557		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	14238	15794	-	AGI86422.1			Major facilitator superfamily transporter MFS 1			XNR_0015	1557	518	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	15791	16654	-							XNR_0016	864		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	15791	16654	-	AGI86423.1			Gramicidin S biosynthesis protein grsT			XNR_0016	864	287	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	16626	17774	-							XNR_0017	1149		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	16626	17774	-	AGI86424.1			Deacetylase			XNR_0017	1149	382	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	17771	18079	-							XNR_0018	309		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	17771	18079	-	AGI86425.1			Hypothetical protein			XNR_0018	309	102	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	18145	21900	-							XNR_0019	3756		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	18145	21900	-	AGI86426.1			8-amino-7-oxononanoate synthase			XNR_0019	3756	1251	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	21897	23018	-							XNR_0020	1122		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	21897	23018	-	AGI86427.1			DNA alkylation repair enzyme			XNR_0020	1122	373	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	23011	29139	-							XNR_0021	6129		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	23011	29139	-	AGI86428.1			Malonyl CoA-acyl carrier protein transacylase			XNR_0021	6129	2042	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	29178	29885	-							XNR_0022	708		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	29178	29885	-	AGI86429.1			modular polyketide synthase			XNR_0022	708	235	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	30095	30952	+							XNR_0023	858		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	30095	30952	+	AGI86430.1			peptide synthetase-like protein			XNR_0023	858	285	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	30945	41711	+							XNR_0024	10767		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	30945	41711	+	AGI86431.1			Long-chain-fatty-acid--CoA ligase			XNR_0024	10767	3588	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	41756	41998	-							XNR_0025	243		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	41756	41998	-	AGI86432.1			Hypothetical protein			XNR_0025	243	80	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	42345	43106	+							XNR_0026	762		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	42345	43106	+	AGI86433.1			Transcriptional repressor of the fructose operon, DeoR family			XNR_0026	762	253	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	43103	44050	+							XNR_0027	948		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	43103	44050	+	AGI86434.1			1-phosphofructokinase			XNR_0027	948	315	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	44163	46175	+							XNR_0028	2013		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	44163	46175	+	AGI86435.1			PTS system, fructose-specific IIA component / PTS system, fructose-specific IIB component / PTS system, fructose-specific IIC component			XNR_0028	2013	670	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	46259	46537	+							XNR_0029	279		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	46259	46537	+	AGI86436.1			Phosphotransferase system, phosphocarrier protein HPr			XNR_0029	279	92	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	46534	48204	+							XNR_0030	1671		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	46534	48204	+	AGI86437.1			Phosphoenolpyruvate-protein phosphotransferase of PTS system			XNR_0030	1671	556	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	48290	48709	-							XNR_0031	420		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	48290	48709	-	AGI86438.1			Polyketide cyclase/dehydrase			XNR_0031	420	139	
gene	pseudogene	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	48744	49590	-							XNR_0032	847		pseudo
gene	pseudogene	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	49636	49791	+							XNR_0033	156		pseudo
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	49912	52965	+							XNR_0034	3054		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	49912	52965	+	AGI86439.1			Transposase for transposon Tn3 family			XNR_0034	3054	1017	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	52998	53180	-							XNR_0035	183		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	52998	53180	-	AGI86440.1			Hypothetical protein			XNR_0035	183	60	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	53254	54003	-							XNR_0036	750		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	53254	54003	-	AGI86441.1			Hypothetical protein			XNR_0036	750	249	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	54223	55539	-							XNR_0037	1317		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	54223	55539	-	AGI86442.1			Hypothetical protein			XNR_0037	1317	438	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	55701	55835	+							XNR_0038	135		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	55701	55835	+	AGI86443.1			Hypothetical protein			XNR_0038	135	44	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	56156	56626	-							XNR_0039	471		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	56156	56626	-	AGI86444.1			Hypothetical protein			XNR_0039	471	156	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	57020	57994	-							XNR_0040	975		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	57020	57994	-	AGI86445.1			recombinase			XNR_0040	975	324	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	58185	59027	+							XNR_0041	843		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	58185	59027	+	AGI86446.1			Phosphohydrolase			XNR_0041	843	280	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	59126	59407	+							XNR_0042	282		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	59126	59407	+	AGI86447.1			Hypothetical protein			XNR_0042	282	93	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	59433	59915	-							XNR_0043	483		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	59433	59915	-	AGI86448.1			Nucleoside diphosphate kinase regulator			XNR_0043	483	160	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	59982	61265	-							XNR_0044	1284		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	59982	61265	-	AGI86449.1			Hypothetical protein			XNR_0044	1284	427	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	61317	61970	-							XNR_0045	654		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	61317	61970	-	AGI86450.1			Hypothetical protein			XNR_0045	654	217	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	61986	62108	+							XNR_0046	123		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	61986	62108	+	AGI86451.1			Hypothetical protein			XNR_0046	123	40	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	62167	62337	+							XNR_0047	171		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	62167	62337	+	AGI86452.1			50S ribosomal protein L32 1			XNR_0047	171	56	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	62393	63274	-							XNR_0048	882		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	62393	63274	-	AGI86453.1			Methyltransferase			XNR_0048	882	293	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	63382	63984	-							XNR_0049	603		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	63382	63984	-	AGI86454.1			Transcriptional regulator			XNR_0049	603	200	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	64083	64424	+							XNR_0050	342		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	64083	64424	+	AGI86455.1			Transcriptional regulator, PadR family			XNR_0050	342	113	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	64421	65383	+							XNR_0051	963		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	64421	65383	+	AGI86456.1			Hypothetical protein			XNR_0051	963	320	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	65396	66271	+							XNR_0052	876		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	65396	66271	+	AGI86457.1			prepilin peptidase-like protein			XNR_0052	876	291	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	66443	67870	+							XNR_0053	1428		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	66443	67870	+	AGI86458.1			Integral membrane transporter			XNR_0053	1428	475	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	68061	69992	-							XNR_0054	1932		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	68061	69992	-	AGI86459.1			Regulator of polyketide synthase expression			XNR_0054	1932	643	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	70480	71280	-							XNR_0055	801		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	70480	71280	-	AGI86460.1			D-beta-hydroxybutyrate dehydrogenase			XNR_0055	801	266	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	71388	71927	-							XNR_0056	540		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	71388	71927	-	AGI86461.1			MutT/NUDIX-family protein			XNR_0056	540	179	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	72005	73624	-							XNR_0057	1620		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	72005	73624	-	AGI86462.1			Polyprenol-phosphate-mannosyl transferase			XNR_0057	1620	539	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	73684	75120	-							XNR_0058	1437		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	73684	75120	-	AGI86463.1			ATP-dependent RNA helicase			XNR_0058	1437	478	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	75188	75784	-							XNR_0059	597		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	75188	75784	-	AGI86464.1			Lipoprotein			XNR_0059	597	198	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	75845	76630	-							XNR_0060	786		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	75845	76630	-	AGI86465.1			Glutamate racemase			XNR_0060	786	261	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	76723	77925	-							XNR_0061	1203		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	76723	77925	-	AGI86466.1			Tellurium resistance protein			XNR_0061	1203	400	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	78247	78768	+							XNR_0062	522		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	78247	78768	+	AGI86467.1			Hypothetical protein			XNR_0062	522	173	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	78844	79713	+							XNR_0063	870		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	78844	79713	+	AGI86468.1			MOSC domain-containing protein			XNR_0063	870	289	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	79800	80405	+							XNR_0064	606		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	79800	80405	+	AGI86469.1			Hypothetical protein			XNR_0064	606	201	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	80433	80561	-							XNR_0065	129		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	80433	80561	-	AGI86470.1			Hypothetical protein			XNR_0065	129	42	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	80553	82961	+							XNR_0066	2409		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	80553	82961	+	AGI86471.1			Sporulation protein K-like protein			XNR_0066	2409	802	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	82931	85369	-							XNR_0067	2439		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	82931	85369	-	AGI86472.1			Integral membrane protein			XNR_0067	2439	812	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	85379	85579	+							XNR_0068	201		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	85379	85579	+	AGI86473.1			Hypothetical protein			XNR_0068	201	66	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	85637	86443	+							XNR_0069	807		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	85637	86443	+	AGI86474.1			DeoR-family transcriptional regulator			XNR_0069	807	268	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	86455	87591	-							XNR_0070	1137		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	86455	87591	-	AGI86475.1			Cysteine synthase B			XNR_0070	1137	378	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	87916	88236	+							XNR_0071	321		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	87916	88236	+	AGI86476.1			Hypothetical protein			XNR_0071	321	106	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	88483	89019	+							XNR_0072	537		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	88483	89019	+	AGI86477.1			Regulatory protein			XNR_0072	537	178	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	89108	90346	-							XNR_0073	1239		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	89108	90346	-	AGI86478.1			ROK-family transcriptional regulator			XNR_0073	1239	412	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	90398	91057	-							XNR_0074	660		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	90398	91057	-	AGI86479.1			Alkylated DNA repair protein			XNR_0074	660	219	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	91189	92406	+							XNR_0075	1218		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	91189	92406	+	AGI86480.1			integral membrane transport protein			XNR_0075	1218	405	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	92769	93416	-							XNR_0076	648		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	92769	93416	-	AGI86481.1			Hypothetical protein			XNR_0076	648	215	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	93755	94732	+							XNR_0077	978		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	93755	94732	+	AGI86482.1			Two-component system sensor histidine kinase			XNR_0077	978	325	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	94729	95406	+							XNR_0078	678		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	94729	95406	+	AGI86483.1			LuxR family two component transcriptional regulator			XNR_0078	678	225	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	95798	97021	-							XNR_0079	1224		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	95798	97021	-	AGI86484.1			Geranylgeranyl reductase			XNR_0079	1224	407	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	97182	98549	+							XNR_0080	1368		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	97182	98549	+	AGI86485.1			M20/M25/M40 family peptidase			XNR_0080	1368	455	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	98597	99577	-							XNR_0081	981		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	98597	99577	-	AGI86486.1			Threonine dehydratase			XNR_0081	981	326	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	99588	100610	-							XNR_0082	1023		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	99588	100610	-	AGI86487.1			ATP/GTP-binding protein			XNR_0082	1023	340	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	100813	101784	-							XNR_0083	972		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	100813	101784	-	AGI86488.1			putative sugar kinase			XNR_0083	972	323	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	102041	103081	+							XNR_0084	1041		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	102041	103081	+	AGI86489.1			LacI-family transcriptional regulator			XNR_0084	1041	346	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	103107	104408	-							XNR_0085	1302		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	103107	104408	-	AGI86490.1			Hypothetical protein			XNR_0085	1302	433	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	104592	105554	-							XNR_0086	963		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	104592	105554	-	AGI86491.1			Electron transfer flavoprotein alpha subunit			XNR_0086	963	320	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	105648	106433	-							XNR_0087	786		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	105648	106433	-	AGI86492.1			Electron transfer flavoprotein alpha/beta-subunit			XNR_0087	786	261	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	106635	107219	-							XNR_0088	585		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	106635	107219	-	AGI86493.1			Flavin-dependent reductase			XNR_0088	585	194	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	107304	107660	-							XNR_0089	357		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	107304	107660	-	AGI86494.1			Thioredoxin			XNR_0089	357	118	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	107931	108662	+							XNR_0090	732		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	107931	108662	+	AGI86495.1			1-acyl-sn-glycerol-3-phosphate acyltransferase			XNR_0090	732	243	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	108850	109920	-							XNR_0091	1071		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	108850	109920	-	AGI86496.1			Low-specificity L-threonine aldolase			XNR_0091	1071	356	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	109917	110684	-							XNR_0092	768		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	109917	110684	-	AGI86497.1			Oxidoreductase			XNR_0092	768	255	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	110690	112138	-							XNR_0093	1449		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	110690	112138	-	AGI86498.1			Hypothetical protein			XNR_0093	1449	482	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	112473	113174	+							XNR_0094	702		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	112473	113174	+	AGI86499.1			Glycerophosphoryl diester phosphodiesterase			XNR_0094	702	233	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	113158	113709	-							XNR_0095	552		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	113158	113709	-	AGI86500.1			Acetyltransferase			XNR_0095	552	183	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	113835	114227	+							XNR_0096	393		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	113835	114227	+	AGI86501.1			Glyoxalase/bleomycin resistance protein/dioxygenase			XNR_0096	393	130	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	114261	114791	-							XNR_0097	531		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	114261	114791	-	AGI86502.1			MarR-family regulatory protein			XNR_0097	531	176	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	114788	116482	-							XNR_0098	1695		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	114788	116482	-	AGI86503.1			Integral membrane protein			XNR_0098	1695	564	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	116714	117280	+							XNR_0099	567		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	116714	117280	+	AGI86504.1			Integral membrane protein			XNR_0099	567	188	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	117389	118321	+							XNR_0100	933		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	117389	118321	+	AGI86505.1			Integral membrane protein			XNR_0100	933	310	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	118407	119096	+							XNR_0101	690		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	118407	119096	+	AGI86506.1			Integral membrane protein			XNR_0101	690	229	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	119060	119686	-							XNR_0102	627		
